Item name,Category,Description,Data type,Range,Resolution,Units,Service page(s),System(s),See 
,,,,,,,,Beam Limiting Devices [Ref: 12],
i543 - Diaphragm X2 speed,X2 speed,Output item of the X2 diaphragm position servo.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Movements [Ref: 6],Ref 14: 4513 330 7035 - sheet 1
,,,,,,,,Beam Limiting Devices [Ref: 12],
i544 - Diaphragm Y1 speed,Y1 speed,Output item of the Y1 diaphragm position servo.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Movements [Ref: 6],Ref 14: 4513 330 7035 - sheet 2
,,,,,,,,Beam Limiting Devices [Ref: 12],
i545 - Diaphragm Y2 speed,Y2 speed,Output item of the Y2 diaphragm position servo.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Movements [Ref: 6],Ref 14: 4513 330 7035 - sheet 2
,,,,,,,,Beam Limiting Devices [Ref: 12],
i546 - Gun difference,Gun Diff,"This item is used in the slitless flight tube gun servo system. An error value is derived, from the comparison of the inner (i190) and outer (i191) hump plates, which is then summed to the value from i538. Item i546 shows the contribution from the hardware gun servo on the SIB PCB.",Not available,Not available,Not available,Not available,Only appears on the Beam Monitor and Gun Servo service pages for digital accelerators fitted with a slitless flight tube,HT and RF [Ref: 7],Ref 14: 4513 330 7035 - sheet 2
,,,,,,,,,4513 330 7088 - sheet 2
i547 - Y applicator speed,Yapp speed,Output item of the Y applicator size servo.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Accessories [Ref: 11],Not available
,,,,,,,,Beam Limiting Devices [Ref: 12],
i548 - Table isocentric rotation speed,T/T speed,Output item of the Precise Table isocentric rotation servo.,Not available,Not available,Not available,Not available,PSS,Precise Table,Ref 14: 4513 330 7065
i549 - Table longitudinal movement speed,Long speed,Output item of the Precise Table longitudinal movement servo.,Not available,Not available,Not available,Not available,PSS,Precise Table,Ref 14: 4513 330 7063
i550 - Table lateral movement speed,Lat speed,Output item of the Precise Table lateral movement servo.,Not available,Not available,Not available,Not available,PSS,Precise Table,Ref 14: 4513 330 7062
i551 - Table height movement speed,Hgt speed,Output item of the Precise Table height movement servo.,Not available,Not available,Not available,Not available,PSS,Precise Table,Ref 14: 4513 330 7064
i552 - Reserved,Reserved,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
i552 - Table rot servo ,Table rot servo,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
i553 - Magnetron tuner drive,Tuner driv,The output item of the magnetron tuner servo. See Table A3 for part values during normal operation.,Not available,Not available See Table A3,Not available,Not available,"AFC, Beam Monitor, Modulator",HT and RF [Ref: 7],Not available
i554 - High power phase shifter drive,HP ph driv,Output item of the high power phase shifter servo.,Byte,Not available,Not available,Not available,Edit Machine Item Part,HT and RF [Ref: 7],Ref 14: 4513 330 7027 - sheet 1
i555 - Low power phase shifter drive,LP ph driv,Output item of the low power phase shifter servo.,Not available,Not available,Not available,Not available,Edit Machine Item Part,HT and RF [Ref: 7],Not available
i556 - Set 2R current,2R I set,Output item of the 2R centring coil servo.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Beam Physics [Ref: 8],Ref 14: 4513 330 7025 - sheet 1
i557 - Set 2T current,2T I set,Output item of the 2T centring coil servo.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Beam Physics [Ref: 8],Ref 14: 4513 330 7025 - sheet 2
i558 - Dose channel 1 pressure,Pressure 1,"Part of the dual dose monitoring system. The item monitors dosimetry pressure sensor 1, which is fitted and configured as part of the dose compensation option only.",Not available,0 to 1300,Integer,mBar (absolute),Dose Calibration,Dosimetry [Ref: 9],Not available
i559 - Dose channel 2 pressure,Pressure 2,"Part of the dual dose monitoring system. The item monitors dosimetry pressure sensor 2, which is fitted and configured as part of the dose compensation option only.",Not available,0 to 1300,Integer,mBar (absolute),Dose Calibration,Dosimetry [Ref: 9],Not available
i560 - Gantry rotation coarse,Gant coars,The voltage from the coarse potentiometer in the triple potentiometer movement position monitor of the gantry.,Not available,Not available,0.01,Not available,Pots,Movements [Ref: 6],Ref 14: 4513 330 7047 - sheet 1
,,,,,,,,Beam Limiting Devices [Ref: 12],4513 330 7025 - sheet 2
i561 - Diaphragm rotation coarse potentiometer,Drot coars,The voltage from the coarse potentiometer in the triple potentiometer movement position monitor of the diaphragms.,Not available,Not available,0.01,Not available,Pots,Movements [Ref: 6],Ref 14: 4513 330 7034 - sheet 1
,,,,,,,,Beam Limiting Devices [Ref: 12],
i562 - PSS coarse pot Isoc,Tbl Isoc Coarse,The voltage from the coarse potentiometer.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Movements [Ref: 6],Not available
i563 - PSS coarse pot Long,Tbl Long Coarse,The voltage from the coarse potentiometer.,Not available,Not available,Not available,Not available,Not available,Movements [Ref: 6],Ref 14: Edit Machine Item Part
i564 - PSS coarse pot Lat,Tbl Lat Coarse,The voltage from the coarse potentiometer.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Movements [Ref: 6],Not available
i565 - PSS coarse Hgt Isoc,Tbl Hgt Coarse,The voltage from the coarse potentiometer.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Movements [Ref: 6],Not available
i567 - Y2 val var app ,Y2 val var app,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
i568 - Applicator X size stop,Size X stp,Not available,Not available,Not available,Integer,Not available,Edit Machine Item Part,Accessories [Ref: 11],Not available
,,,,,,,,Beam Limiting Devices [Ref: 12],
i569 - Applicator Y size stop,Size Y stp,Not available,Not available,Not available,Integer,Not available,Edit Machine Item Part,Accessories [Ref: 11],Not available
,,,,,,,,Beam Limiting Devices [Ref: 12],
i570 - Applicator X offset stop,Ofst X stp,Not available,Not available,Not available,Integer,Not available,Edit Machine Item Part,Accessories [Ref: 11],Not available
,,,,,,,,Beam Limiting Devices [Ref: 12],
i571 - Applicator Y offset stop,Ofst Y stp,Not available,Not available,Not available,Integer,Not available,Edit Machine Item Part,Accessories [Ref: 11],Not available
,,,,,,,,Beam Limiting Devices [Ref: 12],
i572 - HDRE key,HDRE KEY,This item monitors the hardware key switch for high dose rate electron energies.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Not available,Not available
i573 - Gantry rotation fine potentiometer wiper A,Gant Fin A,The voltage from wiper A of the fine potentiometer in the triple potentiometer gantry position monitor.,Not available,Not available,0.01,Not available,Pots,Movements [Ref: 6],Ref 14:4513 330 7047 - sheet 1
i574 - Diaphragm rotation fine potentiometer wiper A,Drot Fin A,The voltage from wiper A of the fine potentiometer in the triple potentiometer diaphragm position monitor.,Not available,Not available,0.01,Not available,Pots,Movements [Ref: 6],Ref 14: 4513 330 7034 - sheet 1
,,,,,,,,Beam Limiting Devices [Ref: 12],
i575 - Diaphragm X1 movement fine potentiometer wiper A,X1 Fin A,The voltage from wiper A of the fine potentiometer in the triple potentiometer X1 diaphragm position monitor.,Not available,Not available,0.01,Not available,Pots,Movements [Ref: 6],Ref 14: 4513 330 7035 - sheet 1
,,,,,,,,Beam Limiting Devices [Ref: 12],
i576 - Diaphragm X2 movement fine potentiometer wiper A,X2 Fin A,The voltage from wiper A of the fine potentiometer in the triple potentiometer X2 diaphragm position monitor.,Not available,Not available,0.01,Not available,Pots,Movements [Ref: 6],Ref 14: 4513 330 7035 - sheet 1
,,,,,,,,Beam Limiting Devices [Ref: 12],
i577 - Diaphragm Y1 position fine potentimeter A,Y1 Fin A,The voltage from wiper A of the fine potentiometer in the triple potentiometer Y1 diaphragm position monitor.,Not available,Not available,,Not available,,,Refer to Drawing 4513 330 7035 Sheet 2
i578 - Diaphragm Y2 movement fine potentiometer wiper A,Y2 Fin A,The voltage from wiper A of the fine potentiometer in the triple potentiometer Y2 diaphragm position monitor.,Not available,Not available,0.01,Not available,Pots,Movements [Ref: 6],Ref 14: 4513 330 7035 - sheet 2
,,,,,,,,Beam Limiting Devices [Ref: 12],
i579 - Gantry enable,Gantry en,Enables the movement of the gantry.,Not available,Not available,Integer,Not available,Edit Machine Item Part,Movements [Ref: 6],Ref 14: 4513 330 7047 - sheet 1
i580 - Precise Table enable,PSS enable,Enables the movement of the Precise Table.,Not available,Not available,Not available,Not available,PSS,Precise Table,Ref 14: 4513 330 7063
,,,,,,,,,4513 330 7064
,,,,,,,,,4513 330 7065
i581 - Centering enable,Cntring en,"This item enables the UMD PCB to produce centering current 1R, 1T, 2R and 2T.",Boolean,0 Enabled,Integer,None,Edit Machine Item Part,Beam Physics [Ref: 8],Ref 14: 4513 330 7025 - sheets 1 to 4
,,,,1 Not enabled,,,,,
i582 - Magnetron tuner enable,Tuning en,Enables the magnetron tuner.,Not available,Not available,Integer,Not available,Edit Machine Item Part,HT and RF [Ref: 7],Ref 14: 4513 330 7027 - sheet 1
i583 - Diaphragm rotation enable,Drot en,Enables the rotation of the diaphragms.,Not available,Not available,Integer,Not available,Edit Machine Item Part,Movements [Ref: 6],Ref 14: 4513 330 7034 - sheet 1
,,,,,,,,Beam Limiting Devices [Ref: 12],4513 330 7035 - sheet 1
i584 - X/Y enable,X/Y enable,Not available.,Not available,Not available,Integer,Not available,Edit Machine Item Part,Not available,Ref 14: 4513 330 7035 - sheet 1
i585 - Radiation head LEDs,Head LED,"These LEDs illuminate for all modes of diaphragm movement except SIZE, for example, OFFSET or X1 diaphragm and so on.",Not available,Not available,Integer,Not available,Contactors,Beam Limiting Devices [Ref: 12],Not available
i586 - Gantry rotation fine potentiometer wiper B,Gant Fin B,Voltage from wiper B of the fine potentiometer in the triple potentiometer gantry position monitor.,Not available,Not available,0.01,Not available,Pots,Movements [Ref: 6],Ref 14: 4513 330 7047 - sheet 1
i587 - Diaphragm rotation fine potentiometer wiper B,Drot Fin B,The voltage from wiper B of the fine potentiometer in the triple potentiometer diaphragm position monitor.,Not available,Not available,0.01,Not available,Pots,Movements [Ref: 6],Ref 14: 4513 330 7034 - sheet 1
,,,,,,,,Beam Limiting Devices [Ref: 12],
i588 - Diaphragm X1 Fin B,Diaphragm_X1_position_Fin_B,The voltage from wiper A of the fine potentiometer in the triple potentiometer X1 diaphragm position monitor.,Not available,Not available,,Not available,,,Refer to Drawing 4513 330 7035 Sheet 1
i589 - Diaphragm X2 Fin B,Diaphragm_X2_position_Fin_B,The voltage from wiper A of the fine potentiometer in the triple potentiometer X2 diaphragm position monitor.,Not available,Not available,,Not available,,,Refer to Drawing 4513 330 7035 Sheet 1
i590 - Diaphragm Y1 Fin B,Diaphragm_Y1_position_Fin_B,The voltage from wiper A of the fine potentiometer in the triple potentiometer Y1 diaphragm position monitor.,Not available,Not available,,Not available,,,Refer to Drawing 4513 330 7035 Sheet 2
i591 - Diaphragm Y2 Fin B,Diaphragm_Y2_position_Fin_B,The voltage from wiper A of the fine potentiometer in the triple potentiometer Y2 diaphragm position monitor.,Not available,Not available,,Not available,,,Refer to Drawing 4513 330 7035 Sheet 2
i592 - X diaphragm field size,X Fld Size,The field size of the X diaphragms computed from DRG X1 start and DRG X2 start.,Not available,Not available,0.01,Not available,"ASU, FKP",Accessories [Ref: 11],Ref 14: 4513 330 7035 - sheet 1
,,,,,,,,Beam Limiting Devices [Ref: 12],4513 330 7036 - sheet 1
i593 - Y diaphragm field size,Y Fld Size,The field size of the Y diaphragms computed from DRG Y1 start and DRG Y2 start.,Not available,Not available,0.01,Not available,"ASU, FKP",Accessories [Ref: 11],Ref 14: 4513 330 7035 - sheet 2
,,,,,,,,Beam Limiting Devices [Ref: 12],4513 330 7036 - sheet 1
i594 - Diaphragm X offset,Offset X,The offset value of the X diaphragms computed from DRG X1 start and DRG X2 start.,Not available,Not available,0.01,Not available,"ASU, FKP",Beam Limiting Devices [Ref: 12],Ref 14: 4513 330 7035 - sheet 1
i595 - Diaphragm Y offset,Offset Y,"Offset of Y diaphragms computed from DRG Y1 start, DRG Y2 start.",Not available,Not available,0.01,Not available,"ASU, FKP",Beam Limiting Devices [Ref: 12],Ref 14: 4513 330 7035 - sheet 2
i596 - Radiation head next X function,Nxt X func,Request from the HCU of the beam limiting device for the next X function.,Not available,Not available,Integer,Not available,Edit Machine Item Part,Beam Limiting Devices [Ref: 12],Not available
i597 - Radiation head next Y function,Nxt Y func,Request from the HCU of the beam limiting device for the next Y function.,Not available,Not available,Integer,Not available,Edit Machine Item Part,Beam Limiting Devices [Ref: 12],Not available
i598 - HHC gantry function,HC Gant fn,The present function controlled by the <GANTRY> thumbwheel potentiometer on the hand held controller.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Movements [Ref: 6],Ref 14: 4513 330 7047 - sheet 1
i599 - Not Used,Not Used,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
i601 - Gun warmup current ,Gun Warmup I,The set value of the gun warmup current.,Coded decimal,Not available,0.01 A,A,Edit Machine Item Part,HT and RF [Ref: 7],Not available
i602 - Cascade PRF ,Cascade PRF,This is a process item used to handle the stepping through intermediate PRFs on step changes of PRF and at start of pulsing.,Not available,Not available,Not available,Not available,Edit Machine Item Part,HT and RF [Ref: 7],Not available
i603 - TCG PRF Factor,PRF Factor,This item is enabled when the Continuously Variable Doserate option is selected and the maximum legacy PRF code (7) is used. ,Not Available,0 to 255,Not Available,Not Available,Edit Machine Item Part,Dosimetry [Ref: 9],Not available
,,"The PRF Factor is an 8 bit value in the range 0-255, and is calculated as follows:",,,,,,,
,,PRF_Factor = 256 x ( Required Doserate / Maximum Doserate ) - 1 ,,,,,,,
i604 - TCG PRF Mode,PRF Mode,This item turns Continually Variable Dose Rate (CVDR) mode on or off.,Not available,0 to 1,Not available,Not available,Edit Machine Item Part,Dosimetry [Ref: 9],Not available
,,"When set to 0 (zero), C-VDR mode is off, and there are only 7 doserate steps available, relating to 400, 200, 100, 50, 25, 12 and 6 PPS.",,,,,,,
,,"If PRF Mode is set to 1 (one), then C-VDR mode is enabled, allowing 256 discrete doserate steps.",,,,,,,
i605 - Channel 1 life dose 1 (Most Significant Word),Ch1 Life Dose 1,This item indicates and enters the Channel 1 life dose for Most significant word.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Dosimetry [Ref: 9],Not available
i606 - Channel 1 Life Dose 2 (Middle Word),Ch1 Life Dose 2 ,This item indicates and enters the Channel 1 life dose for Middle word.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Power Supplies and Interlocks [Ref: 5],Not available
,,,,,,,,Beam Limiting Devices [Ref: 12],
i607 - Channel 1 Life Dose 3 (Least Significant Word),Ch1 Life Dose 3,This item indicates and enters the Channel 1 life dose for Least significant word.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Power Supplies and Interlocks [Ref: 5],Not available
,,,,,,,,HT and RF [Ref: 7],
i608 - Channel 2 Life Dose 1 (Most Significant Word),Ch2 Life Dose 1,This item indicates and enters the Channel 2 life dose for Most significant word.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Power Supplies and Interlocks [Ref: 5],Not available
,,,,,,,,HT and RF [Ref: 7],
i609 - Channel 2 Life Dose 2 (Middle Word),Ch2 Life Dose 2,This item indicates and enters the Channel 2 life dose for Middle word.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Power Supplies and Interlocks [Ref: 5],Ref 14: 513 330 7021 - sheet 1
,,,,,,,,HT and RF [Ref: 7],
i610 - Channel 2 Life Dose 3 (Least Significant Word),Ch2 Life Dose 3,This item indicates and enters the Channel 2 life dose for Least significant word.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7021 - sheet 1
,,,,,,,,HT and RF [Ref: 7],
i640 - PSS coarse pot Isoc ,Tbl Isoc Coarse,The voltage from the coarse potentiometer.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Movements [Ref: 6],Not available
i641 - PSS coarse pot Long ,Tbl Long Coarse,The voltage from the coarse potentiometer.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Movements [Ref: 6],Not available
i642 - PSS coarse pot Lat,Tbl Lat Coarse,The voltage from the coarse potentiometer.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Movements [Ref: 6],Not available
i643 - PSS coarse Hgt Isoc,Tbl Hgt Coarse,The voltage from the coarse potentiometer.,Not available,Not available,Not available,Not available,Not available,Movements [Ref: 6],Ref 14: Edit Machine Item Part
i645 - Table ASU,Table ASU,This item indicates whether a table ASU demand originates from the FKP or the HHC.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Movements [Ref: 6],Not available
i646 - I22 & 358,I22_358,This item provides logical AND for item 22 (Auto En.) and item 358 ((+) Yes key). It is used to select Table ASU.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Movements [Ref: 6],Not available
i647 - Short Beam On Requests,Short Beam On Rqsts,There have been too many short beam-on requests made by the gating system.,Not available,Not available,Not available,Not available,Edit Machine Item Part,,
i648 - Unexpected Dose,Unexpected Dose,Dose has been registered when it was not expected.,Not available,Not available,Not available,Not available,Edit Machine Item Part,,
i649 - Min Beam On Time,Min Beam On Time,Beam-on events shorter than the minimum allowed have been requested.,Not available,Not available,Not available,Not available,Edit Machine Item Part,,
i650 - Gating Channel 1,Gating Channel 1,There is a problem with the gating system or its connection.,Not available,Not available ,Not available,Not available,"Edit Machine Item Part, Single Client Gating",,
i651 - Gating Channel 2,Gating Channel 2,There is a problem with the gating system or its connection.,Not available,Not available,Not available,Not available,Edit Machine Item Part,,
i652 - Gating Channel 3,Gating Channel 3,There is a problem with the gating system or its connection.,Not available,Not available,Not available,Not available,Edit Machine Item Part,,
i653 - Gating Channel 4,Gating Channel 4,There is a problem with the gating system or its connection.,Not available,Not available,Not available,Not available,Edit Machine Item Part,,
i654 - Gating Channel 5,Gating Channel 5,There is a problem with the gating system or its connection.,Not available,Not available,Not available,Not available,Edit Machine Item Part,,
i655 - Gating Channel 6,Gating Channel 6,There is a problem with the gating system or its connection.,Not available,Not available,Not available,Not available,Edit Machine Item Part,,
i656 - Gating Channel 7,Gating Channel 7,There is a problem with the gating system or its connection.,Not available,Not available,Not available,Not available,Edit Machine Item Part,,
i657 - Gating Channel 8,Gating Channel 8,There is a problem with the gating system or its connection.,Not available,Not available,Not available,Not available,Edit Machine Item Part,,
i658 - Gating Intent,Gating Intent,Gating intent has been changed since the start of treatment or the SCGS button has been pressed too long.,Not available,Not available,Not available,Not available,Edit Machine Item Part,,
i659 - Gating GUID,Gating GUID,Not available,Not available,Not available,Not available,Not available,Edit Machine Item Part,,
i660 - System CAN MCG 1,System CAN MCG 1,Not available,Not available,Not available,Not available,Not available,"Edit Machine Item Part, MCG Board",,
i695 - Tbl Long Fine B ,Tbl Long Fine B,The Fine B potentiometer in the triple pot position monitor.,Not available,Not available,Not available,Not available,Not available,Movements [Ref: 6],Not available
,,,,,,,,Beam Limiting Devices [Ref: 12],
i696 - Tbl Lat Fine B ,Tbl Lat Fine B,The Fine B potentiometer in the triple pot position monitor.,Not available,Not available,Not available,Not available,Not available,Movements [Ref: 6],Not available
,,,,,,,,Beam Limiting Devices [Ref: 12],
i697 - Tbl Hgt Fine B ,Tbl Hgt Fine B,The Fine B potentiometer in the triple pot position monitor.,Not available,Not available,Not available,Not available,Not available,Movements [Ref: 6],Not available
,,,,,,,,Beam Limiting Devices [Ref: 12],
,                                                                                         Pseudo items,,,,,,,,
,"Pseudo item ids (numbers) are used in instances where the value in an IPV, e.g. interrupt/terminate, is identifying the related item but the interrupt/terminate reason item is not a real item and does not have any parts.",,,,,,,,
i740 - Spare Board   ,Spare Board                                       ,Not available,Not available,Not available,Not available,Not available,Not available,,Not available
i741 - Null Board,Null Board                                        ,Not available,Not available,Not available,Not available,Not available,Not available,,Not available
i742 - MTU Card,MTU Card                                          ,MTU card: Error with the Multiplexor Terminal Unit card,Not available,Not available,Not available,Not available,,Not available,
i743 - DIE Card ,DIE Card                                          ,DIE Card: Error with the Digital Input card,Not available,Not available,Not available,Not available,,Not available,
i744 - DIE1 Card ,DIE1 Card                                         ,DIE1 Card: Error with the Digital Input 1 card,Not available,Not available,Not available,Not available,,Not available,
i745 - AI12 Card ,AI12 Card                                         ,AI12 Card: Error with the 12-bit Analogue Input card,Not available,Not available,Not available,Not available,,Not available,
i746 - SCC Card ,SCC Card                                          ,SCC Card: Error with the Signal Conditioning card,Not available,Not available,Not available,Not available,,Not available,
i747 - ROC Card  ,ROC Card                                          ,ROC Card: Error with the Relay Output card,Not available,Not available,Not available,Not available,,Not available,
i748 - AO12 Card ,AO12 Card                                         ,AO12 Card: Error with the 12-bit Analogue Output card                                                                                                                                                                                                                                                                                                                                                           ,Not available,Not available,Not available,Not available,,Not available,
i749 - AO8 Card ,AO8 Card                                          ,AO8 Card: Error with the 8-bit analogue output card,Not available,Not available,Not available,Not available,,Not available,
i750 - DOS Card,DOS Card                                          ,DOS Card: Error with the Dosimetry card                                                                                                                                                                                                                                                                                                                                                                         ,Not available,Not available,Not available,Not available,,Not available,
i751 - PPG Card ,PPG Card                                          ,PPG Card: Error with the Programmable Pulse Generator card                                                                                                                                                                                                                                                                                                                                                      ,Not available,Not available,Not available,Not available,,Not available,
i752 - SIB Card,SIB Card                                          ,SIB Card: Error with the Servo Input Board (monitors ion chamber signals)                                                                                                                                                                                                                                                                                                                                       ,Not available,Not available,Not available,Not available,,Not available,
i753 - SIRF Card ,SIRF Card                                         ,SIRF Card: Error with the Servo Input RF card                                                                                                                                                                                                                                                                                                                                                                   ,Not available,Not available,Not available,Not available,,Not available,
i754 - HTS Card  ,HTS Card                                          ,Not available,Not available,Not available,Not available,Not available,,Not available,
i760 - RTU ICA ,RTU ICA                                           ,Not available,Not available,Not available,Not available,Not available,,Not available,
i761 - RTU ICB  ,RTU ICB                                           ,Not available,Not available,Not available,Not available,Not available,,Not available,
i762 - RTU HTA,RTU HTA                                           ,Not available,Not available,Not available,Not available,Not available,,Not available,
i763 - RTU HTB   ,RTU HTB                                           ,Not available,Not available,Not available,Not available,Not available,,Not available,
i764 - RTU RHA ,RTU RHA                                           ,Not available,Not available,Not available,Not available,Not available,,Not available,
i765 - RTU RHB ,RTU RHB                                           ,Not available,Not available,Not available,Not available,Not available,,Not available,
i770 - Dose channel temperature difference,Dose Temp diff,This item is used as an inhibit or terminate reason to indicate that the difference between the two dosimetry temperature sensors in the ion chamber assembly exceeds 6°C,Boolean,0 Temperature difference = or <6°C,Integer,None,Edit Machine Item Part,Dosimetry [Ref: 9],Not available
,,,,1 Temperature difference >6°C,,,,,
i771 - Dose channel pressure difference ,Pressure diff,This item is used as an inhibit or terminate reason to indicate that the difference between the two dosimetry pressure sensors in the RHCA exceeds 20 millibar,Boolean,0 Pressure difference = or <20 mBar,Integer,None,Edit Machine Item Part,Dosimetry [Ref: 9],Not available
,,,,1 Pressure difference >20 mBar,,,,,
i772 - Dosimetry temperature change,Temp. change,This item is used as an inhibit or terminate reason to indicate that the dosimetry temperature has changed by more than 1°C since the start of treatment,Boolean,0 Temperature change = or <1°C,Integer,None,Edit Machine Item Part,Dosimetry [Ref: 9],Not available
,,,,1 Temperature change = or >1°C,,,,,
i773 - Dosimetry pressure change ,Pressure chng,This item is used as an inhibit or terminate reason to indicate that the dosimetry pressure has changed by more than 3 millibar since the start of treatment,Boolean,0 Pressure change = or <3 mBar,Integer,None,Edit Machine Item Part,Dosimetry [Ref: 9],Not available
,,,,1 Pressure change >3 mBar,,,,,
i774- Ch1 Overrun,Ch1 Overrun,"This item is a message to alert the operator that, following a normal  termination by dosimetry channel 1, a further dose count of at least 1 MU was detected on dosimetry channel 1 during  the 'Checking Channel 2' period. A reset will be required to clear the fault.     ",Not available,Not available,Not available,Not available,,Not available,
i775- Checking CH2,Checking CH2                                      ,This item is a message which replaces the previous text item 650. This new text is not displayed after an abnormal termination unless it was due to a termination check failure.,Not available,Not available,Not available,Not available,,Not available,
i776- Wedge Field Size  ,Wedge Field Size                                  ,This item is a message indicating that one of the diaphragms is open beyond the limit of the wedge. Note that the maximum field size for a wedged field is 30 x 40.        ,Not available,Not available,Not available,Not available,,Not available,
i777- Check Fail PRF  ,Check Fail PRF                                    ,This item indicates the reason for a Termination Check Failure as being related to the Pulse Repetition Frequency Interlock.    ,Not available,Not available,Not available,Not available,,Not available,
i778- Check Fail HT1,Check Fail HT1                                    ,This message indicates the reason for a Termination Check Failure as being related to the High Tension 1 Interlock.    ,Not available,Not available,Not available,Not available,,Not available,
i779- Check Fail HT2  ,Check Fail HT2                                    ,This message indicates the reason for a Termination Check Failure as being related to the High Tension 2 Interlock.     ,Not available,Not available,Not available,Not available,,Not available,
i780 - Ext. Computer,Ext. Computer                                     ,Not available,Not available,Not available,Not available,Not available,,Not available,
i781- Terminate Time ,Terminate Time                                    ,Not available,Not available,Not available,Not available,Not available,,Not available,
i782 - Standby ,Standby                                           ,Not available,Not available,Not available,Not available,Not available,,Not available,
i783 - Diaphragm Fit.,Diaphragm Fit.                                    ,Not available,Not available,Not available,Not available,Not available,,Not available,
i784- Dose  Btwn Trts,Dose  Btwn Trts                                   ,Not available,Not available,Not available,Not available,Not available,,Not available,
i785- Time Complete ,Time Complete                                     ,Not available,Not available,Not available,Not available,Not available,,Not available,
i786- Excess Dose,Excess Dose                                       ,Not available,Not available,Not available,Not available,Not available,,Not available,
i787- Dose Count Flt  ,Dose Count Flt                                    ,Not available,Not available,Not available,Not available,Not available,,Not available,
i788- Time Count Flt,Time Count Flt                                    ,Not available,Not available,Not available,Not available,Not available,,Not available,
i789- Supplies Fault  ,Supplies Fault                                    ,Not available,Not available,Not available,Not available,Not available,,Not available,
i790- Dose Latch Up ,Dose Latch Up                                     ,Not available,Not available,Not available,Not available,Not available,,Not available,
i791- Serial Link,Serial Link                                       ,Not available,Not available,Not available,Not available,Not available,,Not available,
i792- Power Up Fail  ,Power Up Fail                                     ,Not available,Not available,Not available,Not available,Not available,,Not available,
i793- Hardware Fault,Hardware Fault                                    ,Not available,Not available,Not available,Not available,Not available,,Not available,
i794- Control Fault   ,Control Fault                                     ,Not available,Not available,Not available,Not available,Not available,,Not available,
i795- Interlocks Fault,Interlocks Fault                                  ,Not available,Not available,Not available,Not available,Not available,,Not available,
i796- Dose/Arc Error,Dose/Arc Error                                    ,Not available,Not available,Not available,Not available,Not available,,Not available,
i797- Beam Timer Chk,Beam Timer Chk                                    ,This item indicates that the Beam Timer Interlock check performed at termination failed.                                                                                                                                                                                                                                                                                         ,Not available,Not available,Not available,Not available,,Not available,
i799- Start/Gantry Error,Start/Gantry Error                                ,Not available,Not available,Not available,Not available,Not available,,Not available,
i800- Settings Incomp,Settings Incomp                                   ,Not available,Not available,Not available,Not available,Not available,,Not available,
i801- Params Out Rng ,Params Out Rng                                    ,Not available,Not available,Not available,Not available,Not available,,Not available,
i802- Table Fault ,Table Fault                                       ,Not available,Not available,Not available,Not available,Not available,,Not available,
i803- Wdge/Total Err,Wdge/Total Err                                    ,Not available,Not available,Not available,Not available,Not available,,Not available,
i804- Dia/Wedge Err,Dia/Wedge Err                                     ,Not available,Not available,Not available,Not available,Not available,,Not available,
i805- Unident. Fault  ,Unident. Fault                                    ,Not available,Not available,Not available,Not available,Not available,,Not available,
i806- Accessory Flt.,Accessory Flt.                                    ,Not available,Not available,Not available,Not available,Not available,,Not available,
i807- Incorr PRF Set,Incorr PRF Set                                    ,Not available,Not available,Not available,Not available,Not available,,Not available,
i808- Hardware Fail,Hardware Fail                                     ,Not available,Not available,Not available,Not available,Not available,,Not available,
i809- Invalid Energy ,Invalid Energy                                    ,Not available,Not available,Not available,Not available,Not available,,Not available,
i810- Dia/Applic Err ,Dia/Applic Err                                    ,Not available,Not available,Not available,Not available,Not available,,Not available,
i811- Beam Absorber,Beam Absorber                                     ,Not available,Not available,Not available,Not available,Not available,,Not available,
i812- Loss Of Energy ,Loss Of Energy                                    ,Not available,Not available,Not available,Not available,Not available,,Not available,
